star_name,hip_name,hd_name,gj_name,tm_name,st_exocatflag,st_coronagflag,st_starshadeflag,st_wfirstflag,st_lbtiflag,st_rvflag,st_ppnum,rastr,decstr,st_dist,st_disterr1,st_disterr2,st_vmag,st_vmagerr,st_vmagsrc,st_bmv,st_bmverr,st_bmvsrc,st_spttype,st_lbol,st_lbolerr,st_lbolsrc
HIP 3419,HIP 3419,HD 4128,GJ 31,2MASS J00433536-1759117,1,1,0,0,0,0,0,00h43m35.23s,-17d59m12.1s,29.53,,,2.020,0.020,VT-G,1.040,0.020,BVT-G-Red,K0III,151.950,0.060,V-K
HIP 3765,HIP 3765,HD 4628,GJ 33,2MASS J00482303+0516497,1,1,1,1,1,1,0,00h48m22.53s,+05d17m00.2s,7.45,,,5.740,0.010,G,0.890,0.010,G,K1V,0.300,0.050,V-K
HIP 3821 A,HIP 3821 A,HD 4614,GJ 34 A,2MASS J00490622+5748545,1,1,1,1,0,1,0,00h49m05.10s,+57d48m59.6s,5.94,0.06,-0.06,3.450,0.020,VT,0.570,0.020,BVT-Red,G3V,1.310,0.060,V-K
HIP 3909,HIP 3909,HD 4813,GJ 37,2MASS J00500759-1038394,1,0,1,0,0,0,0,00h50m07.72s,-10d38m37.6s,15.75,0.16,-0.16,5.160,0.020,VT,0.510,0.010,G,F7V,1.850,0.100,B-V
HIP 4151,HIP 4151,HD 5015,GJ 41,2MASS J00530419+6107262,1,1,0,0,0,0,0,00h53m04.28s,+61d07m24.8s,18.74,0.19,-0.19,4.800,0.010,G,0.540,0.010,G,F8V,3.660,0.050,V-K
HIP 5336,HIP 5336,HD 6582,GJ 53 A,2MASS J01081597+5455148 A,1,1,1,0,0,0,0,01h08m12.92s,+54d55m27.2s,7.55,0.08,-0.07,5.170,0.000,G,0.700,0.000,G,G5Vp,0.460,0.100,B-V
HIP 5862,HIP 5862,HD 7570,GJ 55,2MASS J01151112-4531540,1,1,1,0,0,0,0,01h15m10.57s,-45d31m55.5s,15.11,,,4.960,0.020,VT,0.570,0.010,G,G0V,2.070,0.060,V-K
ups And,HIP 7513,HD 9826,GJ 61 A,2MASS J01364784+4124200,1,1,1,0,1,1,3,01h36m47.98s,+41d24m23.0s,13.49,,,4.090,0.020,VT,0.540,0.010,G,F8V,3.640,0.060,V-K
HIP 7751 B,HIP 7751 B,HD 10360,GJ 66 B,2MASS J01394755-5611471,1,0,1,0,0,0,0,01h39m47.24s,-56d11m47.2s,7.82,0.16,-0.15,5.680,0.020,VT,0.860,0.020,BVT-G-Red,K0/4,0.340,0.110,B-V
HIP 7918,HIP 7918,HD 10307,GJ 67,2MASS J01414714+4236483,1,1,1,1,0,0,0,01h41m46.52s,+42d36m49.7s,12.74,0.13,-0.13,4.960,0.000,G,0.620,0.000,G,G2V,1.490,0.050,V-K
HD 10647,HIP 7978,HD 10647,GJ 3109,2MASS J01422932-5344271,1,0,1,0,0,1,1,01h42m29.15s,-53d44m26.1s,17.43,,,5.520,0.020,VT,0.530,0.020,BVT-Red,F8V,1.640,0.100,B-V
HIP 7981,HIP 7981,HD 10476,GJ 68,2MASS J01422977+2016073,1,1,1,1,1,1,0,01h42m29.95s,+20d16m12.5s,7.53,,,5.240,0.010,G,0.840,0.010,G,K1V,0.470,0.050,V-K
HIP 171,HIP 171,HD 224930,GJ 914 A,2MASS J00021014+2704570 A,1,0,1,0,0,0,0,00h02m09.65s,+27d05m04.2s,12.17,0.38,-0.35,5.800,0.010,G,0.690,0.020,G,G3V,0.700,0.090,V-K
HD 142,HIP 522,HD 142,GJ 4.2 A,2MASS J00061921-4904307 A,1,1,0,0,0,1,2,00h06m18.66s,-49d04m30.3s,25.71,0.26,-0.25,5.700,0.020,VT,0.520,0.010,G,F7V,3.000,0.110,B-V
HIP 544,HIP 544,HD 166,GJ 5,2MASS J00063674+2901175,1,0,1,0,0,1,0,00h06m36.53s,+29d01m19.0s,13.67,0.14,-0.14,6.060,0.020,VT,0.750,0.000,G,K0V,0.680,0.110,B-V
HIP 677,HIP 677,HD 358,,2MASS J00082326+2905253,1,1,0,0,0,0,0,00h08m23.17s,+29d05m27.0s,29.74,0.30,-0.29,2.060,0.010,VT,-0.050,0.010,BVT-Blue,B9p,251.040,0.060,V-K
HIP 746,HIP 746,HD 432,GJ 8,2MASS J00091071+5908591,1,1,0,0,0,0,0,00h09m10.09s,+59d09m00.8s,16.78,0.17,-0.17,2.260,0.020,VT,0.360,0.020,BVT-Blue,F2III-IV,29.090,0.060,V-K
HIP 910,HIP 910,HD 693,GJ 10,2MASS J00111587-1528043,1,1,0,0,1,0,0,00h11m15.91s,-15d28m02.4s,18.75,0.19,-0.19,4.890,0.010,G,0.490,0.010,G,F5V,3.380,0.060,V-K
HIP 1599,HIP 1599,HD 1581,GJ 17,2MASS J00200446-6452282,1,1,1,0,0,0,0,00h20m01.91s,-64d52m39.4s,8.59,,,4.230,0.010,G,0.580,0.010,G,G0V,1.330,0.050,V-K
HIP 2021,HIP 2021,HD 2151,GJ 19,2MASS J00254416-7715157,1,1,1,0,0,0,0,00h25m39.20s,-77d15m18.1s,7.46,,,2.820,0.010,G,0.620,0.010,G,G1IV,3.700,0.050,V-K
HIP 2072,HIP 2072,HD 2262,GJ 20,2MASS J00261219-4340475,1,1,0,0,0,0,0,00h26m12.12s,-43d40m47.7s,23.81,,,3.930,0.010,G,0.180,0.010,G,A6VN,12.770,0.050,V-K
HIP 2081,HIP 2081,HD 2261,GJ 9013,2MASS J00261699-4218216,1,1,0,0,0,0,0,00h26m16.87s,-42d18m18.4s,25.97,0.53,-0.51,2.400,0.010,G,1.080,0.020,G,K0IIIB,88.070,0.070,V-K
HIP 2941 A,HIP 2941 A,HD 3443 A,GJ 25 A,2MASS J00372057-2446023 A,1,0,1,0,0,0,0,00h37m19.79s,-24d46m02.0s,15.40,0.48,-0.45,5.570,0.000,G,0.720,0.000,G,K1V+G,1.320,0.080,V-K
HD 3651,HIP 3093,HD 3651,GJ 27,2MASS J00392187+2115024,1,0,1,1,0,1,1,00h39m22.09s,+21d15m04.9s,11.06,,,5.880,0.010,G,0.850,0.010,G,K0V,0.540,0.050,V-K
tau Cet,HIP 8102,HD 10700,GJ 71,2MASS J01440402-1556141,1,1,1,1,1,1,4,01h44m05.13s,-15d56m22.4s,3.65,,,3.490,0.000,G,0.730,0.010,G,G8.5V,0.520,0.050,V-K
HIP 8362,HIP 8362,HD 10780,GJ 75,2MASS J01474488+6351090,1,0,1,0,1,1,0,01h47m44.06s,+63d51m11.2s,10.07,0.10,-0.10,5.630,0.010,G,0.800,0.010,G,K0V,0.550,0.050,V-K
HIP 8497,HIP 8497,HD 11171,GJ 9061 A,2MASS J01493510-1041110,1,1,0,0,0,0,0,01h49m35.19s,-10d41m10.3s,23.19,0.23,-0.23,4.650,0.020,VT,0.330,0.000,G,F0V,6.090,0.060,V-K
HIP 8796,HIP 8796,HD 11443,GJ 78.1,2MASS J01530489+2934442,1,1,0,0,0,0,0,01h53m04.90s,+29d34m45.8s,19.42,,,3.420,0.010,G,0.490,0.010,G,F6IV,13.850,0.050,V-K
HIP 8903,HIP 8903,HD 11636,GJ 80,2MASS J01543840+2048291,1,1,0,0,0,0,0,01h54m38.35s,+20d48m29.9s,17.99,0.18,-0.18,2.630,0.020,VT,0.160,0.020,BVT-Blue,A5V...,24.760,0.070,V-K
HIP 9007,HIP 9007,HD 11937,GJ 81 A,2MASS J01555745-5136319 A,1,1,0,0,0,0,0,01h55m56.83s,-51d36m34.5s,17.85,0.18,-0.18,3.690,0.010,G,0.840,0.020,G,G8IIIBCNIV,10.950,0.100,B-V
HIP 9236,HIP 9236,HD 12311,GJ 83,2MASS J01584623-6134113,1,1,0,0,0,0,0,01h58m45.87s,-61d34m11.7s,22.01,0.22,-0.22,2.860,0.010,G,0.290,0.010,G,F0V,28.750,0.060,V-K
alf Ari,HIP 9884,HD 12929,GJ 84.3,2MASS J02071038+2327447,1,1,0,0,0,1,1,02h07m10.29s,+23d27m46.0s,20.18,0.20,-0.20,2.010,0.000,G,1.150,0.010,G,K2III,85.890,0.050,V-K
GJ 86,HIP 10138,HD 13445,GJ 86,2MASS J02102587-5049258,1,0,1,0,0,1,1,02h10m24.00s,-50d49m31.1s,10.78,,,6.120,0.010,G,0.810,0.020,G,K1V,0.420,0.100,B-V
HIP 10644,HIP 10644,HD 13974,GJ 92,2MASS J02170303+3413278,1,1,1,0,0,0,0,02h17m02.42s,+34d13m29.4s,10.78,,,4.860,0.020,VT,0.610,0.010,G,G0V,1.210,0.060,V-K
HIP 12114,HIP 12114,HD 16160,GJ 105 A,2MASS J02360498+0653140,1,0,1,1,1,1,0,02h36m03.83s,+06d53m00.1s,7.18,,,5.820,0.020,VT-G,0.980,0.020,BVT-G-Red,K3V,0.290,0.100,B-V
HIP 12706 A,HIP 12706 A,HD 16970,GJ 106.1 A,2MASS J02431801+0314089 A,1,1,0,0,0,0,0,02h43m18.12s,+03d14m10.2s,24.41,0.50,-0.48,3.470,0.000,G,0.090,0.000,G,A2Va,21.160,0.060,V-K
HIP 12777,HIP 12777,HD 16895,GJ 107 A,2MASS J02441197+4913423,1,1,1,0,1,0,0,02h44m11.69s,+49d13m43.2s,11.13,,,4.100,0.020,VT,0.490,0.020,BVT-Red,F7V,2.420,0.060,V-K
HIP 12828,HIP 12828,HD 17094,GJ 9099,2MASS J02445655+1006510,1,1,0,0,0,0,0,02h44m56.37s,+10d06m51.2s,25.77,0.26,-0.26,4.270,0.010,G,0.310,0.010,G,F1III-IV,10.720,0.100,B-V
HIP 12843,HIP 12843,HD 17206,GJ 111,2MASS J02450616-1834211,1,1,1,0,1,0,0,02h45m05.98s,-18d34m21.5s,14.22,0.44,-0.41,4.470,0.010,G,0.480,0.010,G,F5/6V,2.830,0.080,V-K
HIP 13402,HIP 13402,HD 17925,GJ 117,2MASS J02523210-1246109,1,0,1,0,0,1,0,02h52m31.89s,-12d46m09.3s,10.35,,,6.050,0.020,VT,0.860,0.020,G,K1V,0.420,0.060,V-K
HIP 14146,HIP 14146,HD 18978,GJ 121,2MASS J03022353-2337281,1,1,0,0,0,0,0,03h02m23.59s,-23d37m27.6s,27.17,,,4.080,0.000,G,0.160,0.000,G,A4V,14.410,0.050,V-K
HIP 14576,HIP 14576,HD 19356,GJ 9110,2MASS J03081012+4057204,1,1,0,0,0,0,0,03h08m10.13s,+40d57m20.3s,27.57,1.15,-1.06,2.110,0.010,VT,-0.010,0.010,BVT-Blue,B8V,141.600,0.100,V-K
HIP 14632,HIP 14632,HD 19373,GJ 124,2MASS J03090387+4936479,1,1,1,0,1,1,0,03h09m02.88s,+49d36m48.6s,10.54,,,4.050,0.000,G,0.600,0.010,G,G0V,2.360,0.050,V-K
HIP 14879 A,HIP 14879 A,HD 20010,GJ 127 A,2MASS J03120443-2859156 A,1,1,1,0,0,0,0,03h12m04.28s,-28d59m20.8s,14.24,0.14,-0.14,3.800,0.010,G,0.540,0.020,G,F8V,5.300,0.060,V-K
HIP 15330,HIP 15330,HD 20766,GJ 136,2MASS J03174616-6234313,1,0,1,1,0,0,0,03h17m44.47s,-62d34m36.8s,12.01,,,5.530,0.000,G,0.640,0.010,G,G3/5V,0.800,0.050,V-K
HIP 15371,HIP 15371,HD 20807,GJ 138,2MASS J03181281-6230230,1,1,1,0,0,0,0,03h18m11.14s,-62d30m28.6s,12.03,,,5.240,0.010,G,0.600,0.010,G,G2V,1.030,0.050,V-K
HIP 15457,HIP 15457,HD 20630,GJ 137,2MASS J03192169+0322126,1,1,1,0,0,1,0,03h19m21.54s,+03d22m11.9s,9.14,,,4.840,0.020,VT,0.680,0.010,G,G5V,0.880,0.060,V-K
HD 20794,HIP 15510,HD 20794,GJ 139,2MASS J03195563-4304112,1,1,1,1,0,0,4,03h19m53.22s,-43d04m17.6s,6.04,0.06,-0.06,4.260,0.000,G,0.710,0.010,G,G8.0V,0.690,0.050,V-K
HIP 16245,HIP 16245,HD 22001,GJ 143.2 A,2MASS J03292266-6256152,1,1,0,0,0,0,0,03h29m22.19s,-62d56m18.4s,21.68,,,4.700,0.020,VT,0.410,0.000,G,F3IV/V,5.180,0.060,V-K
eps Eri,HIP 16537,HD 22049,GJ 144,2MASS J03325591-0927298,1,1,1,1,1,1,1,03h32m56.42s,-09d27m29.9s,3.21,,,3.710,0.020,VT,0.880,0.010,G,K2.0V,0.350,0.060,V-K
HIP 16852,HIP 16852,HD 22484,GJ 147,2MASS J03365238+0024054,1,1,1,1,1,1,0,03h36m52.52s,+00d24m10.2s,13.96,0.14,-0.14,4.290,0.010,G,0.580,0.010,G,F8V,3.290,0.050,V-K
HIP 17378,HIP 17378,HD 23249,GJ 150,2MASS J03431490-0945490,1,1,1,0,0,1,0,03h43m14.96s,-09d45m54.7s,9.04,,,3.520,0.020,VT,0.930,0.020,BVT-G-Red,K0IV,3.370,0.060,V-K
HIP 17440,HIP 17440,HD 23817,GJ 154.2,2MASS J03441195-6448248,1,1,0,0,0,0,0,03h44m11.55s,-64d48m25.5s,29.86,0.61,-0.59,3.840,0.000,G,1.130,0.000,G,K0IV SB,39.120,0.110,B-V
HIP 17651,HIP 17651,HD 23754,GJ 155,2MASS J03465090-2314585,1,1,0,0,1,0,0,03h46m50.99s,-23d14m54.4s,17.63,,,4.220,0.010,G,0.430,0.010,G,F3/5V,5.390,0.100,B-V
HD 26965,HIP 19849,HD 26965,GJ 166 A,2MASS J04151651-0739068,1,1,1,1,1,1,1,04h15m17.64s,-07d38m40.4s,4.98,,,4.430,0.000,G,0.820,0.000,G,K0.5V,0.420,0.100,B-V
HIP 19859,HIP 19859,HD 26923,,2MASS J04152879+0611128,1,0,0,1,0,0,0,04h15m28.86s,+06d11m13.6s,21.33,0.22,-0.21,6.320,0.010,G,0.570,0.010,G,G0IV...,1.200,0.040,V-K
HIP 19893,HIP 19893,HD 27290,GJ 167.1,2MASS J04160159-5129119,1,1,0,0,0,0,0,04h16m01.49s,-51d29m13.5s,20.46,0.21,-0.20,4.250,0.020,VT,0.310,0.010,G,F0V,6.900,0.060,V-K
HD 27442,HIP 19921,HD 27442,GJ 167.3,2MASS J04162902-5918078,1,1,0,0,0,1,1,04h16m29.08s,-59d18m06.3s,18.24,,,4.440,0.000,G,1.080,0.010,G,K1/2III,6.880,0.050,V-K
alf Tau,HIP 21421,HD 29139,GJ 171.1 A,2MASS J04355524+1630331,1,1,0,0,0,0,1,04h35m55.20s,+16d30m35.1s,20.43,0.42,-0.40,0.870,0.010,G,1.540,0.010,G,K5III,469.490,0.060,V-K
HIP 21770,HIP 21770,HD 29875,GJ 174.1 A,2MASS J04403374-4151495 A,1,1,0,0,0,0,0,04h40m33.82s,-41d51m48.9s,20.17,,,4.440,0.010,G,0.340,0.010,G,F1V,5.610,0.050,V-K
HIP 22263,HIP 22263,HD 30495,GJ 177,2MASS J04473628-1656041,1,0,1,0,0,1,0,04h47m36.21s,-16d56m05.5s,13.28,,,5.490,0.020,VT,0.630,0.010,G,G3V,1.010,0.100,B-V
HD 30562,HIP 22336,HD 30562,GJ 177.1,2MASS J04483633-0540258,1,0,1,0,0,1,1,04h48m36.20s,-05d40m24.4s,26.42,0.27,-0.26,5.760,0.020,VT,0.630,0.000,G,G5V,3.080,0.060,V-K
HIP 22449,HIP 22449,HD 30652,GJ 178,2MASS J04495040+0657409,1,1,1,0,1,1,0,04h49m50.14s,+06d57m40.5s,8.07,,,3.170,0.020,VT,0.460,0.020,BVT-Red,F6V,3.000,0.060,V-K
GJ 179,HIP 22627,,GJ 179,2MASS J04520573+0628356,1,0,1,0,0,1,1,04h52m05.64s,+06d28m38.3s,12.29,0.65,-0.59,12.020,0.010,Koen,1.550,0.010,Koen,M4,0.020,0.150,V-K
HIP 23311,HIP 23311,HD 32147,GJ 183,2MASS J05004896-0545117,1,0,1,0,1,1,0,05h00m48.68s,-05d45m03.5s,8.71,,,6.230,0.020,VT,1.050,0.010,G,K4III,0.300,0.060,V-K
HIP 23693,HIP 23693,HD 33262,GJ 189,2MASS J05053067-5728217,1,1,1,0,0,0,0,05h05m30.69s,-57d28m22.8s,11.65,,,4.710,0.010,G,0.530,0.010,G,F6/7V,1.540,0.100,B-V
HIP 23835,HIP 23835,HD 32923,GJ 188 A,2MASS J05072692+1838420 A,1,1,1,0,0,1,0,05h07m26.68s,+18d38m42.0s,15.43,0.16,-0.15,4.910,0.010,G,0.660,0.010,G,G4V,2.330,0.050,V-K
HIP 23875,HIP 23875,HD 33111,GJ 9175,2MASS J05075100-0505109,1,1,0,0,1,0,0,05h07m51.03s,-05d05m10.5s,27.40,0.28,-0.27,2.760,0.020,VT,0.150,0.020,BVT-Blue,A3IVn,49.810,0.070,V-K
HIP 24205,HIP 24205,HD 33636,,2MASS J05114645+0424127,1,0,1,0,0,1,0,05h11m46.34s,+04d24m13.9s,28.37,0.88,-0.83,6.980,0.020,VT,0.590,0.020,G,G1/2V,1.150,0.090,V-K
HIP 24608,HIP 24608,HD 34029,GJ 194 A,2MASS J05164138+4559525 A,1,1,0,0,0,0,0,05h16m41.30s,+45d59m56.5s,13.12,0.13,-0.13,0.080,0.010,G,0.800,0.020,G,M1:comp,158.400,0.060,V-K
HIP 24813,HIP 24813,HD 34411,GJ 197,2MASS J05190848+4005565,1,1,1,0,1,1,0,05h19m08.08s,+40d06m02.4s,12.63,,,4.690,0.020,VT,0.610,0.020,BVT-Red,G0V,1.890,0.060,V-K
HIP 25278,HIP 25278,HD 35296,GJ 202,2MASS J05242545+1723006,1,1,1,0,1,0,0,05h24m25.31s,+17d23m00.8s,14.39,0.15,-0.14,5.000,0.020,VT,0.520,0.020,BVT-Red,F8VSB,1.800,0.060,V-K
HD 39091,HIP 26394,HD 39091,GJ 9189,2MASS J05370988-8028090,1,1,1,0,0,1,2,05h37m08.79s,-80d28m18.0s,18.32,,,5.650,0.000,G,0.600,0.000,G,G1V,1.640,0.100,B-V
HIP 26779,HIP 26779,HD 37394,GJ 211,2MASS J05412033+5328523,1,0,1,0,0,1,0,05h41m20.33s,+53d28m56.4s,12.28,0.12,-0.12,6.200,0.020,VT,0.840,0.010,G,K1V,0.500,0.040,V-K
HIP 27072,HIP 27072,HD 38393,GJ 216 A,2MASS J05442780-2226538,1,1,1,0,1,0,0,05h44m27.97s,-22d26m51.0s,8.93,,,3.590,0.010,G,0.480,0.010,G,F7V,2.510,0.050,V-K
HIP 27288,HIP 27288,HD 38678,GJ 217.1,2MASS J05465735-1449189,1,1,0,0,1,0,0,05h46m57.35s,-14d49m19.0s,21.61,,,3.550,0.000,G,0.100,0.000,G,A2VANN,15.400,0.050,V-K
bet Pic,HIP 27321,HD 39060,GJ 219,2MASS J05471708-5103594,1,1,0,0,0,1,2,05h47m17.08s,-51d04m00.2s,19.44,,,3.850,0.000,G,0.170,0.000,G,A5V,9.080,0.050,V-K
HD 38858,HIP 27435,HD 38858,GJ 1085,2MASS J05483495-0405404,1,0,0,1,0,0,0,05h48m34.90s,-04d05m38.7s,15.18,0.15,-0.15,5.970,0.000,G,0.640,0.000,G,G3V,0.850,0.050,V-K
HIP 27628,HIP 27628,HD 39425,,2MASS J05505760-3546062,1,1,0,0,0,0,0,05h50m57.55s,-35d46m09.5s,26.73,,,3.100,0.020,VT-G,1.170,0.020,BVT-G-Red,K1.5III,52.650,0.060,V-K
HIP 27890,HIP 27890,HD 40409,GJ 224.1,2MASS J05540606-6305230,1,1,0,0,0,0,0,05h54m05.90s,-63d05m27.7s,26.25,0.54,-0.51,4.640,0.020,VT-G,1.050,0.020,BVT-G-Red,K1III/IV,12.300,0.110,B-V
HIP 27913,HIP 27913,HD 39587,GJ 222 A,2MASS J05542300+2016344 A,1,1,1,1,0,0,0,05h54m23.08s,+20d16m35.1s,8.66,,,4.390,0.020,VT,0.590,0.010,G,G0V,1.170,0.060,V-K
HIP 28103,HIP 28103,HD 40136,GJ 225,2MASS J05562429-1410036,1,1,1,0,1,0,0,05h56m24.32s,-14d10m04.9s,14.88,,,3.710,0.010,G,0.340,0.010,G,F1V,6.020,0.050,V-K
HIP 28360,HIP 28360,HD 40183,GJ 3375,2MASS J05593172+4456508,1,1,0,0,0,0,0,05h59m31.77s,+44d56m50.8s,24.87,0.25,-0.25,1.890,0.010,VT,0.070,0.010,BVT-Blue,A2V,110.910,0.050,V-K
HIP 29271,HIP 29271,HD 43834,GJ 231,2MASS J06101448-7445107,1,1,1,1,0,0,0,06h10m14.20s,-74d45m09.1s,10.20,,,5.080,0.010,G,0.710,0.020,G,G6V,0.910,0.100,B-V
7 CMa,HIP 31592,HD 47205,GJ 239.1,2MASS J06364103-1915210,1,1,0,0,0,1,2,06h36m41.00s,-19d15m20.6s,19.75,,,3.950,0.020,VT,1.060,0.020,BVT-G-Red,K1III(+M),11.990,0.060,V-K
HIP 32349,HIP 32349,HD 48915,GJ 244 A,2MASS J06450887-1642566 A,1,1,1,0,0,0,0,06h45m09.25s,-16d42m47.3s,2.63,,,-1.440,0.000,G,0.010,0.010,G,A1.0V,30.480,0.050,V-K
HIP 32362,HIP 32362,HD 48737,GJ 242,2MASS J06451737+1253438,1,1,0,0,1,0,0,06h45m17.43s,+12d53m45.8s,18.00,,,3.320,0.020,VT,0.440,0.010,G,F5IV,12.770,0.060,V-K
HIP 32607,HIP 32607,HD 50241,GJ 248,2MASS J06481145-6156290,1,1,0,0,0,0,0,06h48m11.54s,-61d56m31.1s,29.60,1.56,-1.41,3.230,0.020,VT,0.220,0.020,BVT-G-Blue,A7IV,36.400,0.140,V-K
